,Date,Region,Place,Trigger,Number Killed,Unnamed: 5,Coordinates
65,01/14/1995,Ogden,Ben Lomond,Snowmobiler,2,Details,"41.364733019853, -111.951005446050"
66,11/7/1994,Salt Lake,Snowbird Ski Resort,Skier,1,Details,"40.564454000000, -111.646497000000"
67,02/18/1994,Salt Lake,10420,Skier,1,Details,
68,04/3/1993,Salt Lake,Wolverine Cirque,Skier,1,Details,"40.585286000000, -111.605041000000"
69,02/25/1993,Salt Lake,Pinecrest,Skier,1,Details,
70,01/16/1993,Provo,Sundance,Skier,1,Details,"40.372185694061, -111.585446285570"
71,04/1/1992,Salt Lake,Snowbird periphery,Skier,1,Details,"40.551518000000, -111.649544000000"
72,02/12/1992,Moab,Gold Basin,Skier,4,Details,
73,11/25/1989,Logan,Tony Grove Lake,Skier,1,Details,
74,02/15/1987,Salt Lake,Figure 8 Hill,Skier,1,Details,"40.591841000000, -111.604827000000"
75,11/20/1986,Salt Lake,Alta Ski Area,Hiker,1,Details,
76,02/19/1986,Salt Lake,Alta Ski Area,Natural,1,Details,"40.566950000000, -111.624353000000"
77,02/17/1986,Salt Lake,Brighton Hill,Snowboarder,1,Details,"40.606262000000, -111.576839000000"
78,01/6/1986,Provo,Water Hollow,Skier,1,Details,"40.285983000000, -111.506379000000"
79,11/13/1985,Salt Lake,Sunset Peak,Skier,2,Details,"40.577629000000, -111.594312000000"
80,03/19/1985,Salt Lake,Park City Ski Resort,Skier,1,Details,"40.641857000000, -111.520412000000"
81,02/22/1985,Ogden,Powder Mountain,Skier,1,Details,"41.362519000000, -111.782882000000"
82,01/2/1984,Salt Lake,Little Superior,Skier,1,Details,"40.593007000000, -111.659243000000"
83,03/22/1982,Salt Lake,Murdock Peak,Skier,1,Details,"40.694668000000, -111.604312000000"
84,03/1/1981,Salt Lake,Porter Fork,Skier,1,Details,"40.664995000000, -111.693146000000"
85,02/1/1981,Salt Lake,Doughnut Falls,Skier,1,Details,"40.631609000000, -111.654308000000"
86,01/11/1980,Salt Lake,Evergreen Ridge,Skier,1,Details,"40.606529000000, -111.594484000000"
87,04/2/1979,Salt Lake,Lake Desolation,Skier,1,Details,"40.656105000000, -111.602252000000"
